The turtle Hawksbill is not heading to the right direction.  There is 294 shapes, but only 180 shapes were expected
Superflous shapes in your solution:
   Line (x70,136 y89,818 / x229,864 y210,182 / red) 
   Line (x70,136 y210,182 / x229,864 y89,818 / red) 
   Line (x71,199 y88,434 / x228,801 y211,566 / red) 
   Line (x71,199 y211,566 / x228,801 y88,434 / red) 
   Line (x72,285 y212,932 / x227,715 y87,068 / red) 
   Line (x73,396 y85,721 / x226,604 y214,279 / red) 
   Line (x73,396 y214,279 / x226,604 y85,721 / red) 
   Line (x74,529 y84,394 / x225,471 y215,606 / red) 
   Line (x74,529 y215,606 / x225,471 y84,394 / red) 
   Line (x75,686 y216,913 / x224,314 y83,087 / red) 
   Line (x76,865 y81,800 / x223,135 y218,200 / red) 
   Line (x76,865 y218,200 / x223,135 y81,800 / red) 
   Line (x78,066 y80,534 / x221,934 y219,466 / red) 
   Line (x78,066 y219,466 / x221,934 y80,534 / red) 
   Line (x79,289 y220,711 / x220,711 y79,289 / red) 
   Line (x80,534 y78,066 / x219,466 y221,934 / red) 
   Line (x80,534 y221,934 / x219,466 y78,066 / red) 
   Line (x81,800 y76,865 / x218,200 y223,135 / red) 
   Line (x81,800 y223,135 / x218,200 y76,865 / red) 
   Line (x83,087 y224,314 / x216,913 y75,686 / red) 
   Line (x84,394 y74,529 / x215,606 y225,471 / red) 
   Line (x84,394 y225,471 / x215,606 y74,529 / red) 
   Line (x85,721 y73,396 / x214,279 y226,604 / black) 
   Line (x85,721 y226,604 / x214,279 y73,396 / red) 
   Line (x87,068 y72,285 / x212,932 y227,715 / black) 
   Line (x87,068 y227,715 / x212,932 y72,285 / black) 
   Line (x88,434 y228,801 / x211,566 y71,199 / black) 
   Line (x89,818 y70,136 / x210,182 y229,864 / black) 
   Line (x89,818 y229,864 / x210,182 y70,136 / black) 
   Line (x91,221 y69,098 / x208,779 y230,902 / black) 
   Line (x91,221 y230,902 / x208,779 y69,098 / black) 
   Line (x92,642 y231,915 / x207,358 y68,085 / black) 
   Line (x94,081 y67,096 / x205,919 y232,904 / black) 
   Line (x94,081 y232,904 / x205,919 y67,096 / black) 
   Line (x95,536 y66,133 / x204,464 y233,867 / black) 
   Line (x95,536 y233,867 / x204,464 y66,133 / black) 
   Line (x97,008 y234,805 / x202,992 y65,195 / black) 
   Line (x98,496 y64,283 / x201,504 y235,717 / black) 
   Line (x98,496 y235,717 / x201,504 y64,283 / black) 
   Line (x100,000 y63,397 / x200,000 y236,603 / black) 
   Line (x100,000 y236,603 / x200,000 y63,397 / black) 
   Line (x101,519 y237,462 / x198,481 y62,538 / black) 
   Line (x103,053 y61,705 / x196,947 y238,295 / black) 
   Line (x103,053 y238,295 / x196,947 y61,705 / black) 
   Line (x104,601 y60,899 / x195,399 y239,101 / black) 
   Line (x104,601 y239,101 / x195,399 y60,899 / black) 
   Line (x106,163 y239,879 / x193,837 y60,121 / black) 
   Line (x107,738 y59,369 / x192,262 y240,631 / black) 
   Line (x107,738 y240,631 / x192,262 y59,369 / black) 
   Line (x109,326 y58,645 / x190,674 y241,355 / black) 
   Line (x109,326 y241,355 / x190,674 y58,645 / black) 
   Line (x110,927 y242,050 / x189,073 y57,950 / black) 
   Line (x112,539 y57,282 / x187,461 y242,718 / black) 
   Line (x112,539 y242,718 / x187,461 y57,282 / black) 
   Line (x114,163 y56,642 / x185,837 y243,358 / black) 
   Line (x114,163 y243,358 / x185,837 y56,642 / black) 
   Line (x115,798 y56,031 / x184,202 y243,969 / red) 
   Line (x115,798 y243,969 / x184,202 y56,031 / black) 
   Line (x117,443 y55,448 / x182,557 y244,552 / red) 
   Line (x117,443 y244,552 / x182,557 y55,448 / red) 
   Line (x119,098 y54,894 / x180,902 y245,106 / red) 
   Line (x119,098 y245,106 / x180,902 y54,894 / red) 
   Line (x120,763 y54,370 / x179,237 y245,630 / red) 
   Line (x120,763 y245,630 / x179,237 y54,370 / red) 
   Line (x122,436 y53,874 / x177,564 y246,126 / red) 
   Line (x122,436 y246,126 / x177,564 y53,874 / red) 
   Line (x124,118 y53,407 / x175,882 y246,593 / red) 
   Line (x124,118 y246,593 / x175,882 y53,407 / red) 
   Line (x125,808 y52,970 / x174,192 y247,030 / red) 
   Line (x125,808 y247,030 / x174,192 y52,970 / red) 
   Line (x127,505 y52,563 / x172,495 y247,437 / red) 
   Line (x127,505 y247,437 / x172,495 y52,563 / red) 
   Line (x129,209 y52,185 / x170,791 y247,815 / red) 
   Line (x129,209 y247,815 / x170,791 y52,185 / red) 
   Line (x130,919 y51,837 / x169,081 y248,163 / red) 
   Line (x130,919 y248,163 / x169,081 y51,837 / red) 
   Line (x132,635 y51,519 / x167,365 y248,481 / red) 
   Line (x132,635 y248,481 / x167,365 y51,519 / red) 
   Line (x134,357 y51,231 / x165,643 y248,769 / red) 
   Line (x134,357 y248,769 / x165,643 y51,231 / red) 
   Line (x136,083 y50,973 / x163,917 y249,027 / red) 
   Line (x136,083 y249,027 / x163,917 y50,973 / red) 
   Line (x137,813 y50,745 / x162,187 y249,255 / red) 
   Line (x137,813 y249,255 / x162,187 y50,745 / red) 
   Line (x139,547 y50,548 / x160,453 y249,452 / red) 
   Line (x139,547 y249,452 / x160,453 y50,548 / red) 
   Line (x141,284 y50,381 / x158,716 y249,619 / red) 
   Line (x141,284 y249,619 / x158,716 y50,381 / red) 
   Line (x143,024 y50,244 / x156,976 y249,756 / red) 
   Line (x143,024 y249,756 / x156,976 y50,244 / red) 
   Line (x144,766 y50,137 / x155,234 y249,863 / red) 
   Line (x144,766 y249,863 / x155,234 y50,137 / red) 
   Line (x146,510 y50,061 / x153,490 y249,939 / red) 
   Line (x146,510 y249,939 / x153,490 y50,061 / red) 
   Line (x148,255 y50,015 / x151,745 y249,985 / red) 
   Line (x148,255 y249,985 / x151,745 y50,015 / red) 
   Line (x150,000 y50,000 / x150,000 y250,000 / black) 

