The amount of steps is wrong: 8342 is not 0
  In (15,77), the ground is expected to be white, but it is red.
  In (15,89), the ground is expected to be white, but it is red.
  In (15,93), the ground is expected to be white, but it is yellow.
  In (16,17), the ground is expected to be white, but it is yellow.
  In (16,21), the ground is expected to be white, but it is red.
  In (16,23), the ground is expected to be white, but it is yellow.
  In (16,27), the ground is expected to be white, but it is red.
  In (16,29), the ground is expected to be yellow, but it is white.
  In (16,32), the ground is expected to be yellow, but it is white.
  In (16,33), the ground is expected to be yellow, but it is white.
  In (16,38), the ground is expected to be yellow, but it is white.
  In (16,40), the ground is expected to be yellow, but it is white.
  In (16,41), the ground is expected to be yellow, but it is white.
  In (16,42), the ground is expected to be yellow, but it is white.
  In (16,43), the ground is expected to be yellow, but it is white.
  In (16,45), the ground is expected to be yellow, but it is white.
  In (16,46), the ground is expected to be yellow, but it is white.
  In (16,47), the ground is expected to be yellow, but it is white.
  In (16,50), the ground is expected to be yellow, but it is white.
  In (16,55), the ground is expected to be yellow, but it is white.
  In (16,57), the ground is expected to be yellow, but it is white.
  In (16,59), the ground is expected to be yellow, but it is white.
  In (16,60), the ground is expected to be yellow, but it is white.
  In (16,62), the ground is expected to be yellow, but it is white.
  In (16,72), the ground is expected to be white, but it is yellow.
  In (16,76), the ground is expected to be white, but it is red.
  In (16,88), the ground is expected to be white, but it is red.
  In (16,92), the ground is expected to be white, but it is yellow.
  In (17,18), the ground is expected to be white, but it is yellow.
  In (17,22), the ground is expected to be white, but it is red.
  In (17,24), the ground is expected to be white, but it is yellow.
  In (17,28), the ground is expected to be white, but it is red.
  In (17,29), the ground is expected to be yellow, but it is white.
  In (17,30), the ground is expected to be yellow, but it is white.
  In (17,31), the ground is expected to be yellow, but it is white.
  In (17,33), the ground is expected to be yellow, but it is white.
  In (17,36), the ground is expected to be yellow, but it is white.
  In (17,39), the ground is expected to be yellow, but it is white.
  In (17,41), the ground is expected to be yellow, but it is white.
  In (17,42), the ground is expected to be yellow, but it is white.
  In (17,45), the ground is expected to be yellow, but it is white.
  In (17,46), the ground is expected to be yellow, but it is white.
  In (17,48), the ground is expected to be yellow, but it is white.
  In (17,49), the ground is expected to be yellow, but it is white.
  In (17,50), the ground is expected to be yellow, but it is white.
  In (17,52), the ground is expected to be yellow, but it is white.
  In (17,55), the ground is expected to be yellow, but it is white.
  In (17,56), the ground is expected to be yellow, but it is white.
  In (17,61), the ground is expected to be yellow, but it is white.
  In (17,62), the ground is expected to be yellow, but it is white.
  In (17,71), the ground is expected to be white, but it is yellow.
  In (17,75), the ground is expected to be white, but it is red.
  In (17,87), the ground is expected to be white, but it is red.
  In (17,91), the ground is expected to be white, but it is yellow.
  In (18,19), the ground is expected to be white, but it is yellow.
  In (18,22), the ground is expected to be yellow, but it is white.
  In (18,23), the ground is expected to be white, but it is red.
  In (18,24), the ground is expected to be yellow, but it is white.
  In (18,29), the ground is expected to be white, but it is red.
  In (18,30), the ground is expected to be yellow, but it is white.
  In (18,31), the ground is expected to be yellow, but it is white.
  In (18,33), the ground is expected to be yellow, but it is white.
  In (18,35), the ground is expected to be yellow, but it is white.
  In (18,39), the ground is expected to be yellow, but it is white.
  In (18,40), the ground is expected to be yellow, but it is white.
  In (18,41), the ground is expected to be yellow, but it is white.
  In (18,42), the ground is expected to be yellow, but it is white.
  In (18,44), the ground is expected to be yellow, but it is white.
  In (18,49), the ground is expected to be yellow, but it is white.
  In (18,55), the ground is expected to be yellow, but it is white.
  In (18,57), the ground is expected to be yellow, but it is white.
  In (18,60), the ground is expected to be yellow, but it is white.
  In (18,61), the ground is expected to be yellow, but it is white.
  In (18,70), the ground is expected to be white, but it is yellow.
  In (18,74), the ground is expected to be white, but it is red.
  In (18,86), the ground is expected to be white, but it is red.
  In (18,90), the ground is expected to be white, but it is yellow.
  In (19,20), the ground is expected to be white, but it is yellow.
  In (19,22), the ground is expected to be yellow, but it is white.
  In (19,23), the ground is expected to be yellow, but it is white.
  In (19,24), the ground is expected to be yellow, but it is red.
  In (19,26), the ground is expected to be white, but it is yellow.
  In (19,29), the ground is expected to be yellow, but it is white.
  In (19,30), the ground is expected to be yellow, but it is red.
  In (19,31), the ground is expected to be yellow, but it is white.
  In (19,32), the ground is expected to be yellow, but it is white.
  In (19,33), the ground is expected to be yellow, but it is white.
  In (19,35), the ground is expected to be yellow, but it is white.
  In (19,36), the ground is expected to be yellow, but it is white.
  In (19,39), the ground is expected to be yellow, but it is white.
  In (19,40), the ground is expected to be yellow, but it is white.
  In (19,41), the ground is expected to be yellow, but it is white.
  In (19,42), the ground is expected to be yellow, but it is white.
  In (19,43), the ground is expected to be yellow, but it is white.
  In (19,44), the ground is expected to be yellow, but it is white.
  In (19,45), the ground is expected to be yellow, but it is white.
  In (19,46), the ground is expected to be yellow, but it is white.
  In (19,47), the ground is expected to be yellow, but it is white.
  In (19,48), the ground is expected to be yellow, but it is white.
  In (19,55), the ground is expected to be yellow, but it is white.
  In (19,57), the ground is expected to be yellow, but it is white.
  In (19,60), the ground is expected to be yellow, but it is white.
  In (19,61), the ground is expected to be yellow, but it is white.
  In (19,69), the ground is expected to be white, but it is yellow.
  In (19,73), the ground is expected to be white, but it is red.
  In (19,85), the ground is expected to be white, but it is red.
  In (19,89), the ground is expected to be white, but it is yellow.
  In (20,21), the ground is expected to be white, but it is yellow.
  In (20,22), the ground is expected to be yellow, but it is white.
  In (20,23), the ground is expected to be yellow, but it is white.
  In (20,24), the ground is expected to be yellow, but it is white.
  In (20,25), the ground is expected to be white, but it is red.
  In (20,27), the ground is expected to be white, but it is yellow.
  In (20,31), the ground is expected to be white, but it is red.
  In (20,32), the ground is expected to be yellow, but it is white.
  In (20,33), the ground is expected to be yellow, but it is white.
  In (20,34), the ground is expected to be yellow, but it is white.
  In (20,35), the ground is expected to be yellow, but it is white.
  In (20,36), the ground is expected to be yellow, but it is white.
  In (20,37), the ground is expected to be yellow, but it is white.
  In (20,39), the ground is expected to be yellow, but it is white.
  In (20,40), the ground is expected to be yellow, but it is white.
  In (20,42), the ground is expected to be yellow, but it is white.
  In (20,45), the ground is expected to be yellow, but it is white.
  In (20,47), the ground is expected to be yellow, but it is white.
  In (20,48), the ground is expected to be yellow, but it is white.
  In (20,52), the ground is expected to be yellow, but it is white.
  In (20,53), the ground is expected to be yellow, but it is white.
  In (20,60), the ground is expected to be yellow, but it is white.
  In (20,68), the ground is expected to be white, but it is yellow.
  In (20,72), the ground is expected to be white, but it is red.
  In (20,84), the ground is expected to be white, but it is red.
  In (20,88), the ground is expected to be white, but it is yellow.
  In (21,14), the ground is expected to be yellow, but it is white.
  In (21,15), the ground is expected to be yellow, but it is white.
  In (21,16), the ground is expected to be yellow, but it is white.
  In (21,21), the ground is expected to be yellow, but it is white.
  In (21,25), the ground is expected to be yellow, but it is white.
  In (21,26), the ground is expected to be yellow, but it is red.
  In (21,28), the ground is expected to be white, but it is yellow.
  In (21,32), the ground is expected to be white, but it is red.
  In (21,33), the ground is expected to be yellow, but it is white.
  In (21,35), the ground is expected to be yellow, but it is white.
  In (21,36), the ground is expected to be yellow, but it is white.
  In (21,37), the ground is expected to be yellow, but it is white.
  In (21,38), the ground is expected to be yellow, but it is white.
  In (21,40), the ground is expected to be yellow, but it is white.
  In (21,42), the ground is expected to be yellow, but it is white.
  In (21,44), the ground is expected to be yellow, but it is white.
  In (21,45), the ground is expected to be yellow, but it is white.
  In (21,46), the ground is expected to be yellow, but it is white.
  In (21,52), the ground is expected to be yellow, but it is white.
  In (21,53), the ground is expected to be yellow, but it is white.
  In (21,54), the ground is expected to be yellow, but it is white.
  In (21,56), the ground is expected to be yellow, but it is white.
